date;Zuletzt
07.05.2010;5.715,09
06.05.2010;5.908,26
05.05.2010;5.958,45
04.05.2010;6.006,86
03.05.2010;6.166,92
30.04.2010;6.135,70
29.04.2010;6.144,91
28.04.2010;6.084,34
27.04.2010;6.159,51
26.04.2010;6.332,10
23.04.2010;6.259,53
22.04.2010;6.168,72
21.04.2010;6.230,38
20.04.2010;6.264,23
19.04.2010;6.162,44
16.04.2010;6.180,90
15.04.2010;6.291,45
14.04.2010;6.278,40
13.04.2010;6.230,83
12.04.2010;6.250,69
09.04.2010;6.249,70
08.04.2010;6.171,83
07.04.2010;6.222,41
06.04.2010;6.252,21
05.04.2010;6.235,56
01.04.2010;6.235,56
31.03.2010;6.153,55
30.03.2010;6.142,45
29.03.2010;6.156,85
26.03.2010;6.120,05
25.03.2010;6.132,95
24.03.2010;6.039,00
23.03.2010;6.017,27
22.03.2010;5.987,50
19.03.2010;5.982,43
18.03.2010;6.012,31
17.03.2010;6.024,28
16.03.2010;5.970,99
15.03.2010;5.903,56
12.03.2010;5.945,11
11.03.2010;5.928,63
10.03.2010;5.936,72
09.03.2010;5.885,89
08.03.2010;5.875,91
05.03.2010;5.877,36
04.03.2010;5.795,32
03.03.2010;5.817,88
02.03.2010;5.776,56
01.03.2010;5.713,51
26.02.2010;5.598,46
25.02.2010;5.532,33
24.02.2010;5.615,51
23.02.2010;5.604,07
22.02.2010;5.688,44
19.02.2010;5.722,05
18.02.2010;5.680,41
17.02.2010;5.648,34
16.02.2010;5.592,12
15.02.2010;5.511,10
12.02.2010;5.500,39
11.02.2010;5.503,93
10.02.2010;5.536,37
09.02.2010;5.498,26
08.02.2010;5.484,85
05.02.2010;5.434,34
04.02.2010;5.533,24
03.02.2010;5.672,09
02.02.2010;5.709,66
01.02.2010;5.654,48
29.01.2010;5.608,79
28.01.2010;5.540,33
27.01.2010;5.643,20
26.01.2010;5.668,93
25.01.2010;5.631,37
22.01.2010;5.695,32
21.01.2010;5.746,97
20.01.2010;5.851,53
19.01.2010;5.976,48
18.01.2010;5.918,55
15.01.2010;5.875,97
14.01.2010;5.988,88
13.01.2010;5.963,14
12.01.2010;5.943,00
11.01.2010;6.040,50
08.01.2010;6.037,61
07.01.2010;6.019,36
06.01.2010;6.034,33
05.01.2010;6.031,86
04.01.2010;6.048,30
30.12.2009;5.957,43
29.12.2009;6.011,55
28.12.2009;6.002,92
23.12.2009;5.957,44
22.12.2009;5.945,69
21.12.2009;5.930,53
18.12.2009;5.831,21
17.12.2009;5.844,44
16.12.2009;5.903,43
15.12.2009;5.811,34
14.12.2009;5.802,26
11.12.2009;5.756,29
10.12.2009;5.709,02
09.12.2009;5.647,84
08.12.2009;5.688,58
07.12.2009;5.784,75
04.12.2009;5.817,65
03.12.2009;5.770,35
02.12.2009;5.781,68
01.12.2009;5.776,61
30.11.2009;5.625,95
27.11.2009;5.685,61
26.11.2009;5.614,17
25.11.2009;5.803,02
24.11.2009;5.769,31
23.11.2009;5.801,48
20.11.2009;5.663,15
19.11.2009;5.702,18
18.11.2009;5.787,61
17.11.2009;5.778,43
16.11.2009;5.804,82
13.11.2009;5.686,83
12.11.2009;5.663,96
11.11.2009;5.668,35
10.11.2009;5.613,20
09.11.2009;5.619,72
06.11.2009;5.488,25
05.11.2009;5.480,92
04.11.2009;5.444,23
03.11.2009;5.353,35
02.11.2009;5.430,82
30.10.2009;5.414,96
29.10.2009;5.587,45
28.10.2009;5.496,27
27.10.2009;5.635,02
26.10.2009;5.642,16
23.10.2009;5.740,25
22.10.2009;5.762,93
21.10.2009;5.833,49
20.10.2009;5.811,77
19.10.2009;5.852,56
16.10.2009;5.743,39
15.10.2009;5.830,77
14.10.2009;5.854,14
13.10.2009;5.714,31
12.10.2009;5.783,23
09.10.2009;5.711,88
08.10.2009;5.716,54
07.10.2009;5.640,75
06.10.2009;5.657,64
05.10.2009;5.508,85
02.10.2009;5.467,90
01.10.2009;5.554,55
30.09.2009;5.675,16
29.09.2009;5.713,52
